,ft_hash,topic,livefyre_id
41,804537f6-83d2-11e6-8897-2359a58ac7a5,Russia,ODA0NTM3ZjYtODNkMi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
42,4df4cf78-83fa-11e6-8897-2359a58ac7a5,Russia,NGRmNGNmNzgtODNmYS0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
43,595799e-8187-11e6-8e50-8ec15fb462f4,Russia,NTk1Nzk5ZS04MTg3LTExZTYtOGU1MC04ZWMxNWZiNDYyZjQ.
44,d16c2caa-effa-32f4-a656-6438aec025df,Russia,ZDE2YzJjYWEtZWZmYS0zMmY0LWE2NTYtNjQzOGFlYzAyNWRm
45,905b6fc-4dd2-3170-9d2a-c79cdbb24f16,Russia,OTA1YjZmYy00ZGQyLTMxNzAtOWQyYS1jNzljZGJiMjRmMTY.
46,4eca9446-8477-11e6-a29c-6e7d9515ad15,Russia,NGVjYTk0NDYtODQ3Ny0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
47,b129731e-4cd2-11e6-8172-e39ecd3b86f,Russia,YjEyOTczMWUtNGNkMi0xMWU2LTgxNzItZTM5ZWNkM2I4NmY.
48,d2fdc153-75b7-34f2-9ca8-3884e67f6b81,Russia,ZDJmZGMxNTMtNzViNy0zNGYyLTljYTgtMzg4NGU2N2Y2Yjgx
49,1195320e-83df-11e6-a29c-6e7d9515ad15,Russia,MTE5NTMyMGUtODNkZi0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
50,a8dc4a0-83d4-11e6-a29c-6e7d9515ad15,Russia,YThkYzRhMC04M2Q0LTExZTYtYTI5Yy02ZTdkOTUxNWFkMTU.
51,7a14e778-8409-11e6-8897-2359a58ac7a5,Russia,N2ExNGU3NzgtODQwOS0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
52,b7b5e4ea-83fc-11e6-8897-2359a58ac7a5,Russia,YjdiNWU0ZWEtODNmYy0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
53,37c40bf4-83fc-11e6-a29c-6e7d9515ad15,Russia,MzdjNDBiZjQtODNmYy0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
54,6788f49e-83fc-11e6-a29c-6e7d9515ad15,Russia,Njc4OGY0OWUtODNmYy0xMWU2LWEyOWMtNmU3ZDk1MTVhZDE1
55,2e146210-81a5-11e6-8e50-8ec15fb462f4,Russia,MmUxNDYyMTAtODFhNS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
56,fa45b086-817e-11e6-8e50-8ec15fb462f4,Russia,ZmE0NWIwODYtODE3ZS0xMWU2LThlNTAtOGVjMTVmYjQ2MmY0
57,a4ee755a-83c2-11e6-8897-2359a58ac7a5,Russia,YTRlZTc1NWEtODNjMi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
58,3e340aa-831e-11e6-8897-2359a58ac7a5,Russia,M2UzNDBhYS04MzFlLTExZTYtODg5Ny0yMzU5YTU4YWM3YTU.
59,dd5f09c-831d-11e6-a29c-6e7d9515ad15,Russia,ZGQ1ZjA5Yy04MzFkLTExZTYtYTI5Yy02ZTdkOTUxNWFkMTU.
60,7556240c-83b6-11e6-8897-2359a58ac7a5,Russia,NzU1NjI0MGMtODNiNi0xMWU2LTg4OTctMjM1OWE1OGFjN2E1
62,355fc2e4-441f-11e6-9b66-0712b3873ae1,Russia,MzU1ZmMyZTQtNDQxZi0xMWU2LTliNjYtMDcxMmIzODczYWUx
