,0,1
26,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,01575acc-76e8-11e3-807e-00144feabdc0
27,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,882e88aa-79f8-11e3-8211-00144feabdc0
28,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,c6c057a0-7882-11e3-831c-00144feabdc0
29,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,74e3fe48-76f5-11e3-a253-00144feabdc0
30,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,915b4624-7611-11e3-8c8d-00144feabdc0
31,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,858d0bbc-7205-11e3-bff7-00144feabdc0
32,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-01-01T00:00:00Z AND lastPublishDateTime:<2014-02-02T00:00:00Z,259d1ff6-7301-11e3-b05b-00144feabdc0
33,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,3920107c-9d42-11e3-83c5-00144feab7de
34,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,d972993e-9a34-11e3-8232-00144feab7de
35,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,f60ddc44-9a47-11e3-a407-00144feab7de
36,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,e5b15b1a-998d-11e3-91cd-00144feab7de
37,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,6e79da1c-9862-11e3-8503-00144feab7de
38,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,a7a89c86-97e2-11e3-ab60-00144feab7de
39,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,9310918c-979e-11e3-949f-00144feab7de
40,MH17 OR NATO OR Obama OR Putin OR Refugees AND lastPublishDateTime:>2014-02-01T00:00:00Z AND lastPublishDateTime:<2014-03-02T00:00:00Z,79b2db98-972e-11e3-a274-00144feab7de
